Type1,Type2,DAverage,DRMSE,AAverage,ARMSE,OAverage,ORMSE
NORMAL,FIGHTING,1.0666666666666669,1.1972189997378648,1.1333333333333333,1.2382783747337809,0.06666666666666665,0.3162277660168377
NORMAL,FLYING,1.0,1.1690451944500122,1.1666666666666667,1.2449899597988732,0.16666666666666674,0.4281744192888372
NORMAL,POISON,1.0666666666666669,1.1972189997378648,1.0666666666666669,1.1401754250991378,0.0,0.3651483716701107
NORMAL,GROUND,1.0666666666666669,1.2516655570345725,1.2666666666666666,1.3416407864998738,0.2,0.483045891539648
NORMAL,ROCK,1.2,1.5275252316519468,1.2666666666666666,1.3416407864998738,0.06666666666666665,0.7302967433402215
NORMAL,BUG,1.1333333333333333,1.2780193008453875,1.1666666666666667,1.2449899597988732,0.03333333333333344,0.28867513459481275
NORMAL,GHOST,0.7333333333333333,0.8366600265340756,1.0666666666666669,1.095445115010332,0.33333333333333337,0.7071067811865472
NORMAL,FIRE,1.1,1.2583057392117916,1.1666666666666667,1.2449899597988732,0.06666666666666665,0.18257418583505566
NORMAL,WATER,1.0333333333333334,1.1761519176251567,1.2,1.2649110640673518,0.16666666666666652,0.4654746681256315
NORMAL,GRASS,1.2,1.390443574307614,1.2,1.2649110640673518,0.0,0.5773502691896257
NORMAL,ELECTRIC,1.0,1.1105554165971787,1.1333333333333333,1.1832159566199232,0.1333333333333333,0.4082482904638631
NORMAL,PSYCHIC,0.9666666666666668,1.0408329997330663,1.1333333333333333,1.1832159566199232,0.16666666666666666,0.5627314338711378
NORMAL,ICE,1.2333333333333334,1.5110702608857516,1.2666666666666666,1.3416407864998738,0.033333333333333215,0.6952217871538069
NORMAL,DRAGON,1.0,1.1547005383792517,1.0666666666666669,1.095445115010332,0.06666666666666665,0.3651483716701111
NORMAL,,1.0,1.0645812948447542,0.9,0.939858145324779,-0.09999999999999998,-0.5
FIGHTING,FLYING,1.0833333333333333,1.2533289007013817,1.4,1.4832396974191326,0.31666666666666665,0.7932002689527197
